EEID,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Annual_Salary,Bonus,Country,City
E03419,Jade Yi,Account Representative,Sales,Speciality Products,Female,Asian,47,"$63,880 ",0%,China,Chongqing
E02038,Ellie Chung,Sr. Manger,Marketing,Corporate,Female,Asian,59,"$157,969 ",10%,China,Chongqing
E01116,Jaxon Tran,Sr. Manger,Sales,Manufacturing,Male,Asian,45,"$151,027 ",10%,China,Shanghai
E00365,Jonathan Patel,Manager,Marketing,Corporate,Male,Asian,28,"$115,417 ",6%,China,Shanghai
E04567,Madeline Hoang,Systems Analyst,IT,Research & Development,Female,Asian,28,"$50,111 ",0%,China,Chengdu
E03167,Luke Zheng,Director,Human Resources,Speciality Products,Male,Asian,39,"$161,690 ",29%,China,Beijing
E03347,Rylee Dinh,Development Engineer,Engineering,Speciality Products,Female,Asian,35,"$60,132 ",0%,China,Chongqing
E04816,Jace Zhang,Service Desk Analyst,IT,Speciality Products,Male,Asian,31,"$95,963 ",0%,China,Chengdu
E00432,Eli Gupta,Director,Human Resources,Research & Development,Male,Asian,37,"$160,280 ",19%,China,Beijing
E02770,Liliana Do,Service Desk Analyst,IT,Manufacturing,Female,Asian,30,"$86,774 ",0%,China,Chengdu
E01977,Raelynn Gupta,Sr. Manger,Finance,Corporate,Female,Asian,48,"$125,730 ",11%,China,Chongqing
E00207,Hailey Lai,Vice President,Human Resources,Manufacturing,Female,Asian,52,"$187,048 ",32%,China,Chengdu
E02652,Nathan Sun,Manager,Accounting,Speciality Products,Male,Asian,63,"$103,724 ",5%,China,Shanghai
E02971,Mia Wu,Enterprise Architect,IT,Corporate,Female,Asian,45,"$99,169 ",0%,China,Beijing
E03327,Julia Luong,Sr. Manger,Accounting,Research & Development,Female,Asian,55,"$142,628 ",12%,China,Chongqing
E03854,Camila Li,Sr. Manger,IT,Research & Development,Female,Asian,60,"$126,911 ",10%,China,Shanghai
E04729,Ezekiel Fong,Vice President,Sales,Research & Development,Male,Asian,56,"$216,949 ",32%,China,Shanghai
E00181,Genesis Hu,Sr. Analyst,Marketing,Corporate,Female,Asian,46,"$86,510 ",0%,China,Beijing
E03090,Penelope Choi,Technical Architect,IT,Speciality Products,Female,Asian,49,"$72,826 ",0%,China,Beijing
E00500,Henry Shah,Director,Accounting,Manufacturing,Male,Asian,55,"$187,389 ",25%,China,Chengdu
E02728,Thomas Chang,Sr. Analyst,Accounting,Research & Development,Male,Asian,34,"$97,231 ",0%,China,Beijing
E01014,Lucas Phan,Director,Marketing,Research & Development,Male,Asian,49,"$191,807 ",21%,China,Chongqing
E04529,Gabriel Yu,Technical Architect,IT,Speciality Products,Male,Asian,42,"$64,677 ",0%,China,Chongqing
E00632,Angel Chang,Network Architect,IT,Research & Development,Male,Asian,37,"$96,331 ",0%,China,Shanghai
E03429,Ian Wu,Sr. Analyst,Marketing,Manufacturing,Male,Asian,51,"$82,300 ",0%,China,Chengdu
E04962,Elena Tan,Vice President,Engineering,Manufacturing,Female,Asian,50,"$181,801 ",40%,China,Chongqing
E03893,Alice Xiong,Vice President,Engineering,Manufacturing,Female,Asian,55,"$221,465 ",34%,China,Chengdu
E03277,Caroline Hu,Sr. Manger,Marketing,Speciality Products,Female,Asian,31,"$126,353 ",12%,China,Shanghai
E04194,Madison Kumar,Director,Accounting,Speciality Products,Female,Asian,55,"$188,727 ",23%,China,Chengdu
E04041,Clara Huynh,IT Coordinator,IT,Speciality Products,Female,Asian,39,"$48,415 ",0%,China,Shanghai
E01052,Jaxson Dinh,Sr. Manger,Marketing,Research & Development,Male,Asian,45,"$147,752 ",12%,China,Shanghai
E04165,Sophie Vang,Sr. Manger,Marketing,Manufacturing,Female,Asian,25,"$136,810 ",14%,China,Chongqing
E00650,Emery Chang,Business Partner,Human Resources,Research & Development,Female,Asian,45,"$55,563 ",0%,China,Chengdu
E00344,Savannah He,Director,IT,Research & Development,Female,Asian,52,"$159,724 ",23%,China,Beijing
E00965,Jacob Khan,Computer Systems Manager,IT,Speciality Products,Male,Asian,53,"$84,193 ",9%,China,Shanghai
E03058,Angel Xiong,Vice President,IT,Research & Development,Male,Asian,35,"$234,723 ",36%,China,Shanghai
E02337,Emma Cao,Analyst,Accounting,Corporate,Female,Asian,27,"$50,809 ",0%,China,Chongqing
E04538,Adeline Yang,Cloud Infrastructure Architect,IT,Corporate,Female,Asian,53,"$86,173 ",0%,China,Chongqing
E00758,Jonathan Khan,Account Representative,Sales,Manufacturing,Male,Asian,35,"$59,646 ",0%,China,Shanghai
E03750,Elias Dang,Director,Engineering,Speciality Products,Male,Asian,64,"$158,787 ",18%,China,Chengdu
E00144,Theodore Ngo,Controls Engineer,Engineering,Research & Development,Male,Asian,55,"$83,378 ",0%,China,Beijing
E03901,Luca Truong,Director,Marketing,Corporate,Male,Asian,45,"$168,846 ",24%,China,Chongqing
E03849,Harper Chin,Quality Engineer,Engineering,Manufacturing,Female,Asian,50,"$92,209 ",0%,China,Shanghai
E04784,Joshua Lin,Technical Architect,IT,Research & Development,Male,Asian,37,"$80,055 ",0%,China,Beijing
E02185,Aubrey Yoon,Sr. Business Partner,Human Resources,Research & Development,Female,Asian,60,"$78,388 ",0%,China,Chongqing
E03807,Noah Chen,Sr. Manger,Marketing,Manufacturing,Male,Asian,63,"$148,321 ",15%,China,Beijing
E00784,Ella Nguyen,Service Desk Analyst,IT,Corporate,Female,Asian,60,"$90,258 ",0%,China,Chongqing
E00325,Jameson Chen,Vice President,Marketing,Research & Development,Male,Asian,39,"$254,057 ",39%,China,Shanghai
E01870,Carson Chau,Director,Finance,Corporate,Male,Asian,58,"$162,038 ",24%,China,Chongqing
E02313,Jeremiah Lu,Network Architect,IT,Manufacturing,Male,Asian,50,"$73,907 ",0%,China,Shanghai
E00826,Rylee Bui,Analyst,Accounting,Corporate,Female,Asian,55,"$54,733 ",0%,China,Chongqing
E02613,John Jung,Sr. Analyst,Sales,Speciality Products,Male,Asian,63,"$73,200 ",0%,China,Shanghai
E01262,Miles Mehta,Manager,Finance,Manufacturing,Male,Asian,50,"$106,437 ",7%,China,Chongqing
E02977,Nicholas Song,Analyst II,Marketing,Manufacturing,Male,Asian,52,"$68,807 ",0%,China,Chengdu
E02473,Leonardo Lo,Quality Engineer,Engineering,Speciality Products,Male,Asian,29,"$91,782 ",0%,China,Chongqing
E02103,Andrew Ma,HRIS Analyst,Human Resources,Corporate,Male,Asian,31,"$71,755 ",0%,China,Chongqing
E04213,Hailey Xi,Manager,Accounting,Corporate,Female,Asian,52,"$111,006 ",8%,China,Chongqing
E04114,Christopher Lim,Director,IT,Research & Development,Male,Asian,55,"$184,648 ",24%,China,Shanghai
E03181,Greyson Dang,Development Engineer,Engineering,Manufacturing,Male,Asian,60,"$62,239 ",0%,China,Beijing
E04403,Dominic Hu,Manager,Accounting,Speciality Products,Male,Asian,34,"$118,708 ",7%,China,Shanghai
E04487,Audrey Hwang,Sr. Analyst,Accounting,Speciality Products,Female,Asian,45,"$89,841 ",0%,China,Beijing
E01371,Dominic Le,Vice President,Marketing,Corporate,Male,Asian,41,"$257,194 ",35%,China,Chongqing
E01377,Grayson Luu,Quality Engineer,Engineering,Research & Development,Male,Asian,55,"$89,419 ",0%,China,Shanghai
E01668,Naomi Xi,Director,Finance,Corporate,Female,Asian,53,"$179,494 ",20%,China,Chongqing
E03402,Isaac Liu,Field Engineer,Engineering,Manufacturing,Male,Asian,60,"$88,213 ",0%,China,Chongqing
E02534,Leah Khan,Director,Marketing,Corporate,Female,Asian,36,"$157,070 ",28%,China,Chongqing
E03059,Hailey Dang,Manager,Marketing,Manufacturing,Female,Asian,64,"$108,780 ",6%,China,Shanghai
E02477,Amelia Bui,Director,Engineering,Speciality Products,Female,Asian,46,"$151,853 ",16%,China,Chengdu
E00022,Elena Her,Account Representative,Sales,Manufacturing,Female,Asian,62,"$64,669 ",0%,China,Chongqing
E00555,Christian Ali,Analyst II,Marketing,Research & Development,Male,Asian,65,"$74,631 ",0%,China,Chongqing
E03919,Grayson Chan,Engineering Manager,Engineering,Speciality Products,Male,Asian,46,"$114,250 ",14%,China,Chengdu
E04087,Adam Kaur,Manager,IT,Corporate,Male,Asian,60,"$109,059 ",7%,China,Chengdu
E01712,James Singh,Director,Marketing,Corporate,Male,Asian,45,"$186,138 ",28%,China,Chongqing
E00530,Naomi Chu,Sr. Manger,Sales,Manufacturing,Female,Asian,46,"$158,897 ",10%,China,Chongqing
E02492,Sebastian Gupta,Sr. Analyst,Marketing,Corporate,Male,Asian,40,"$73,779 ",0%,China,Chongqing
E01733,Eloise Pham,Manager,Sales,Speciality Products,Female,Asian,45,"$123,640 ",7%,China,Shanghai
E02420,Madison Li,Director,Marketing,Manufacturing,Female,Asian,35,"$171,426 ",15%,China,Beijing
E04277,Zoe Do,Analyst II,Sales,Speciality Products,Female,Asian,60,"$51,877 ",0%,China,Beijing
E02881,Leilani Sharma,Sr. Analyst,Accounting,Manufacturing,Female,Asian,43,"$92,940 ",0%,China,Chengdu
E02770,James Huang,Manager,Human Resources,Speciality Products,Male,Asian,54,"$128,136 ",5%,China,Beijing
E03465,Harper Phan,Analyst II,Finance,Manufacturing,Female,Asian,45,"$71,454 ",0%,China,Shanghai
E03064,Lincoln Fong,Analyst II,Sales,Speciality Products,Male,Asian,31,"$67,171 ",0%,China,Chongqing
E03273,Daniel Shah,Analyst II,Sales,Research & Development,Male,Asian,41,"$72,425 ",0%,China,Beijing
E01387,Cora Zheng,Director,IT,Manufacturing,Female,Asian,27,"$167,100 ",20%,China,Chengdu
E01638,Elizabeth Huang,Analyst,Finance,Speciality Products,Female,Asian,62,"$49,738 ",0%,China,Beijing
E01193,Raelynn Lu,Director,Finance,Research & Development,Female,Asian,27,"$153,628 ",29%,China,Chongqing
E01789,Charles Luu,Sr. Manger,Sales,Manufacturing,Male,Asian,25,"$142,731 ",11%,China,Shanghai
E02846,Julia Mai,Manager,Marketing,Manufacturing,Female,Asian,50,"$108,134 ",10%,China,Shanghai
E03349,Adam He,Director,Accounting,Speciality Products,Male,Asian,35,"$181,356 ",23%,China,Beijing
E03683,Raelynn Hong,Director,Marketing,Speciality Products,Female,Asian,28,"$182,321 ",28%,China,Beijing
E00206,Theodore Xi,Manager,Finance,Corporate,Male,Asian,52,"$122,890 ",7%,China,Shanghai
E02066,Grayson Yee,Manager,Human Resources,Corporate,Male,Asian,48,"$110,565 ",9%,China,Beijing
E03364,Audrey Lee,Development Engineer,Engineering,Speciality Products,Female,Asian,51,"$87,036 ",0%,China,Chongqing
E02984,Jack Mai,Sr. Analyst,Marketing,Corporate,Male,Asian,45,"$92,293 ",0%,China,Chengdu
E04699,Ivy Tang,Development Engineer,Engineering,Speciality Products,Female,Asian,48,"$65,340 ",0%,China,Shanghai
E04969,Abigail Vang,Operations Engineer,Engineering,Research & Development,Female,Asian,40,"$109,680 ",0%,China,Chengdu
E04157,William Cao,Sr. Analyst,Marketing,Manufacturing,Male,Asian,63,"$77,629 ",0%,China,Beijing
E03528,Leo Hsu,Sr. Manger,Human Resources,Manufacturing,Male,Asian,62,"$138,808 ",15%,China,Chongqing
E04415,Penelope Fong,Director,Accounting,Corporate,Female,Asian,60,"$186,378 ",26%,China,Chongqing
E01268,Charlotte Wu,Sr. Business Partner,Human Resources,Manufacturing,Female,Asian,63,"$72,805 ",0%,China,Shanghai
E04853,Vivian Chu,Sr. Account Representative,Sales,Research & Development,Female,Asian,46,"$72,131 ",0%,China,Shanghai
E00951,Everly Lin,Business Partner,Human Resources,Manufacturing,Female,Asian,25,"$47,974 ",0%,China,Chongqing
E01706,Avery Sun,Operations Engineer,Engineering,Manufacturing,Female,Asian,45,"$109,422 ",0%,China,Chongqing
E01895,Gabriel Zhou,IT Coordinator,IT,Manufacturing,Male,Asian,25,"$41,844 ",0%,China,Chongqing
E01396,Jack Vu,Analyst II,Accounting,Research & Development,Male,Asian,43,"$58,875 ",0%,China,Chengdu
E01941,Quinn Trinh,Analyst II,Sales,Corporate,Female,Asian,42,"$67,743 ",0%,China,Beijing
E04189,Ariana Kim,Network Architect,IT,Manufacturing,Female,Asian,33,"$96,366 ",0%,China,Chengdu
E00324,Hailey Song,Manager,Finance,Research & Development,Female,Asian,37,"$124,928 ",6%,China,Chongqing
E02033,Grace Sun,Director,Finance,Research & Development,Female,Asian,25,"$186,870 ",20%,China,Shanghai
E02639,Sebastian Le,Analyst,Finance,Corporate,Male,Asian,37,"$45,369 ",0%,China,Beijing
E02720,Jaxon Fong,Sr. Analyst,Sales,Speciality Products,Male,Asian,59,"$83,685 ",0%,China,Beijing
E02428,Connor Luu,Computer Systems Manager,IT,Speciality Products,Male,Asian,35,"$73,899 ",5%,China,Chengdu
E00342,Wesley Doan,Manager,Finance,Corporate,Male,Asian,63,"$122,487 ",8%,China,Shanghai
E02576,Gianna Ha,Manager,IT,Research & Development,Female,Asian,55,"$115,145 ",5%,China,Chongqing
E01755,Audrey Patel,Sr. Manger,Finance,Speciality Products,Female,Asian,37,"$131,183 ",14%,China,Shanghai
E00465,Brooklyn Cho,Technical Architect,IT,Manufacturing,Female,Asian,45,"$92,655 ",0%,China,Chengdu
E01242,Emery Doan,Controls Engineer,Engineering,Corporate,Female,Asian,25,"$86,464 ",0%,China,Shanghai
E03332,Ruby Sun,Cloud Infrastructure Architect,IT,Manufacturing,Female,Asian,50,"$83,418 ",0%,China,Shanghai
E01388,Cooper Gupta,Business Partner,Human Resources,Speciality Products,Male,Asian,58,"$41,728 ",0%,China,Chongqing
E04636,Hailey Yee,Account Representative,Sales,Research & Development,Female,Asian,54,"$56,239 ",0%,China,Chongqing
E02938,John Trinh,Director,Marketing,Corporate,Male,Asian,49,"$153,961 ",25%,China,Shanghai
E00555,Sofia Trinh,Network Architect,IT,Speciality Products,Female,Asian,45,"$68,337 ",0%,China,Chongqing
E00089,Sofia Yoon,Sr. Manger,Human Resources,Research & Development,Female,Asian,37,"$131,353 ",11%,China,Shanghai
E02035,Eli Rahman,Service Desk Analyst,IT,Manufacturing,Male,Asian,45,"$88,182 ",0%,China,Chengdu
E03611,Alice Mehta,Analyst II,Sales,Research & Development,Female,Asian,45,"$52,621 ",0%,China,Beijing
E03519,Eliza Zheng,Computer Systems Manager,IT,Speciality Products,Female,Asian,48,"$91,679 ",7%,China,Chongqing
E01967,John Dang,Director,Sales,Corporate,Male,Asian,58,"$199,848 ",16%,China,Chongqing
E01125,Joshua Yang,Network Engineer,IT,Manufacturing,Male,Asian,34,"$61,944 ",0%,China,Shanghai
E00508,Thomas Jung,Sr. Analyst,Accounting,Research & Development,Male,Asian,50,"$79,447 ",0%,China,Shanghai
E01225,Christian Fong,Manager,Sales,Research & Development,Male,Asian,49,"$109,850 ",7%,China,Beijing
E02848,Lincoln Huynh,System Administrator,IT,Research & Development,Male,Asian,55,"$87,851 ",0%,China,Chongqing
E02453,Dylan Kumar,Sr. Analyst,Marketing,Speciality Products,Male,Asian,55,"$93,343 ",0%,China,Chongqing
E04035,Hailey Lai,Sr. Manger,Finance,Manufacturing,Female,Asian,42,"$150,034 ",12%,China,Beijing
E03457,Ivy Desai,Controls Engineer,Engineering,Research & Development,Female,Asian,59,"$119,699 ",0%,China,Shanghai
E01300,Sadie Lee,Sr. Manger,Marketing,Corporate,Female,Asian,65,"$149,417 ",13%,China,Chengdu
E04670,Angel Do,IT Systems Architect,IT,Speciality Products,Male,Asian,34,"$94,735 ",0%,China,Beijing
E02363,Eliza Liang,Sr. Manger,Human Resources,Speciality Products,Female,Asian,36,"$134,006 ",13%,China,Beijing
E03718,Zoe Zhou,Manager,Finance,Corporate,Female,Asian,61,"$103,096 ",7%,China,Beijing
E01611,Gabriella Zhu,Computer Systems Manager,IT,Speciality Products,Female,Asian,36,"$88,730 ",8%,China,Chongqing
E03305,Cooper Jiang,Analyst II,Accounting,Corporate,Male,Asian,49,"$50,883 ",0%,China,Chongqing
E03858,John Cho,Director,Human Resources,Speciality Products,Male,Asian,47,"$195,385 ",21%,China,Chengdu
E03778,Luke Vu,Sr. Manger,Marketing,Speciality Products,Male,Asian,52,"$154,884 ",10%,China,Shanghai
E02661,Maya Chan,Controls Engineer,Engineering,Speciality Products,Female,Asian,37,"$124,827 ",0%,China,Beijing
E00785,Hannah Hoang,Manager,Accounting,Speciality Products,Female,Asian,25,"$114,893 ",6%,China,Chengdu
E02703,Austin Vang,Manager,Marketing,Speciality Products,Male,Asian,49,"$119,397 ",9%,China,Beijing
E02191,Maria Sun,Director,Sales,Corporate,Female,Asian,25,"$150,666 ",23%,China,Chengdu
E04032,Emery Zhang,Field Engineer,Engineering,Corporate,Female,Asian,45,"$89,659 ",0%,China,Beijing
E01909,Lillian Khan,Analyst,Finance,Speciality Products,Female,Asian,44,"$47,387 ",0%,China,Chengdu
E02521,Lily Nguyen,Sr. Analyst,Finance,Speciality Products,Female,Asian,33,"$95,960 ",0%,China,Chengdu
