EEID,Full_Name,Job_Title,Department,Business_Unit,Gender,Ethnicity,Age,Annual_Salary,Bonus,Country,City
E01241,Hadley Guerrero,Sr. Manger,IT,Research & Development,Female,Latino,49,"$125,086 ",10%,Brazil,Sao Paulo
E03802,Thomas Vazquez,Director,Engineering,Corporate,Male,Latino,46,"$173,629 ",21%,Brazil,Sao Paulo
E02632,Alice Soto,Analyst,Accounting,Corporate,Female,Latino,56,"$50,857 ",0%,Brazil,Manaus
E02730,Axel Soto,Quality Engineer,Engineering,Corporate,Male,Latino,46,"$96,639 ",0%,Brazil,Rio de Janerio
E02895,Mila Soto,Director,Finance,Research & Development,Female,Latino,65,"$170,221 ",15%,Brazil,Manaus
E02678,Nicholas Rivera,Director,Engineering,Corporate,Male,Latino,45,"$189,680 ",23%,Brazil,Sao Paulo
E00268,Ian Flores,Director,Engineering,Corporate,Male,Latino,48,"$183,113 ",24%,Brazil,Rio de Janerio
E04155,Dylan Dominguez,Sr. Analyst,Marketing,Research & Development,Male,Latino,42,"$99,697 ",0%,Brazil,Rio de Janerio
E04811,Athena Vasquez,Field Engineer,Engineering,Speciality Products,Female,Latino,59,"$69,578 ",0%,Brazil,Rio de Janerio
E03404,Everleigh Nunez,Field Engineer,Engineering,Speciality Products,Female,Latino,42,"$65,507 ",0%,Brazil,Manaus
E01845,Leo Fernandez,Manager,Finance,Research & Development,Male,Latino,54,"$108,268 ",9%,Brazil,Sao Paulo
E00145,Alexander Rivera,Sr. Analyst,Sales,Research & Development,Male,Latino,58,"$76,802 ",0%,Brazil,Manaus
E04448,Adrian Ruiz,Sr. Analyst,Finance,Corporate,Male,Latino,34,"$95,499 ",0%,Brazil,Sao Paulo
E04817,Zoe Sanchez,Sr. Analyst,Accounting,Research & Development,Female,Latino,53,"$90,212 ",0%,Brazil,Sao Paulo
E00096,Peyton Cruz,Development Engineer,Engineering,Manufacturing,Female,Latino,30,"$91,134 ",0%,Brazil,Sao Paulo
E01760,Madeline Acosta,Sr. Account Representative,Sales,Speciality Products,Female,Latino,26,"$87,427 ",0%,Brazil,Sao Paulo
E01075,Joshua Juarez,Analyst II,Finance,Manufacturing,Male,Latino,46,"$64,364 ",0%,Brazil,Sao Paulo
E04108,Jade Figueroa,Sr. Analyst,Sales,Manufacturing,Female,Latino,33,"$88,343 ",0%,Brazil,Rio de Janerio
E02917,Everett Morales,Solutions Architect,IT,Speciality Products,Male,Latino,57,"$66,649 ",0%,Brazil,Rio de Janerio
E03393,Henry Figueroa,Sr. Manger,Finance,Manufacturing,Male,Latino,46,"$134,881 ",15%,Brazil,Manaus
E03889,Caleb Flores,Manager,Human Resources,Manufacturing,Male,Latino,34,"$113,909 ",6%,Brazil,Rio de Janerio
E01423,James Castillo,Vice President,IT,Manufacturing,Male,Latino,51,"$247,874 ",33%,Brazil,Manaus
E03354,Silas Estrada,IT Systems Architect,IT,Corporate,Male,Latino,49,"$68,426 ",0%,Brazil,Rio de Janerio
E00972,Hazel Cortez,HRIS Analyst,Human Resources,Research & Development,Female,Latino,52,"$50,548 ",0%,Brazil,Sao Paulo
E03370,Ian Cortez,Analyst II,Marketing,Research & Development,Male,Latino,61,"$69,352 ",0%,Brazil,Rio de Janerio
E03160,Carter Ortiz,Quality Engineer,Engineering,Speciality Products,Male,Latino,54,"$96,441 ",0%,Brazil,Sao Paulo
E01724,Nolan Molina,Computer Systems Manager,IT,Corporate,Male,Latino,36,"$70,165 ",7%,Brazil,Manaus
E03805,Autumn Gonzales,Analyst II,Sales,Corporate,Female,Latino,34,"$72,126 ",0%,Brazil,Manaus
E01407,Ellie Guerrero,Sr. Manger,Human Resources,Corporate,Female,Latino,29,"$141,555 ",11%,Brazil,Manaus
E02063,Ian Gutierrez,Sr. Business Partner,Human Resources,Research & Development,Male,Latino,32,"$70,980 ",0%,Brazil,Rio de Janerio
E00184,Kayden Ortega,Analyst,Accounting,Manufacturing,Male,Latino,58,"$56,350 ",0%,Brazil,Rio de Janerio
E02899,Joshua Cortez,Sr. Manger,Finance,Corporate,Male,Latino,44,"$126,277 ",13%,Brazil,Manaus
E04952,Paisley Gomez,Sr. Analyst,Sales,Manufacturing,Female,Latino,57,"$98,150 ",0%,Brazil,Rio de Janerio
E01432,Peyton Garza,Systems Analyst,IT,Manufacturing,Female,Latino,53,"$44,735 ",0%,Brazil,Manaus
E00276,Kennedy Romero,Engineering Manager,Engineering,Research & Development,Female,Latino,37,"$87,359 ",11%,Brazil,Rio de Janerio
E01883,Isla Guzman,Sr. Manger,Accounting,Speciality Products,Female,Latino,28,"$152,036 ",15%,Brazil,Rio de Janerio
E00701,Madeline Garcia,Sr. Business Partner,Human Resources,Speciality Products,Female,Latino,45,"$74,891 ",0%,Brazil,Rio de Janerio
E01347,Aiden Gonzales,Vice President,Marketing,Speciality Products,Male,Latino,44,"$186,033 ",34%,Brazil,Sao Paulo
E01422,Lydia Espinoza,Sr. Manger,Marketing,Speciality Products,Female,Latino,29,"$137,106 ",12%,Brazil,Sao Paulo
E02192,Lucy Avila,Solutions Architect,IT,Speciality Products,Female,Latino,43,"$76,912 ",0%,Brazil,Sao Paulo
E00717,Kennedy Vargas,Business Partner,Human Resources,Manufacturing,Female,Latino,45,"$51,404 ",0%,Brazil,Manaus
E01649,Eva Alvarado,Computer Systems Manager,IT,Manufacturing,Female,Latino,46,"$77,461 ",9%,Brazil,Sao Paulo
E00955,Theodore Marquez,Development Engineer,Engineering,Speciality Products,Male,Latino,54,"$94,407 ",0%,Brazil,Sao Paulo
E02391,Natalia Santos,Vice President,Human Resources,Speciality Products,Female,Latino,45,"$249,801 ",39%,Brazil,Sao Paulo
E00494,Robert Alvarez,Service Desk Analyst,IT,Corporate,Male,Latino,39,"$84,297 ",0%,Brazil,Manaus
E00634,Samantha Chavez,Sr. Analyst,Sales,Speciality Products,Female,Latino,53,"$75,769 ",0%,Brazil,Manaus
E04683,Ezekiel Delgado,Director,Engineering,Speciality Products,Male,Latino,40,"$187,187 ",18%,Brazil,Manaus
E02800,Eva Estrada,Sr. Manger,Sales,Speciality Products,Female,Latino,45,"$148,991 ",12%,Brazil,Sao Paulo
E04926,Emma Luna,Field Engineer,Engineering,Speciality Products,Female,Latino,52,"$97,398 ",0%,Brazil,Manaus
E02649,Charles Gonzalez,Quality Engineer,Engineering,Research & Development,Male,Latino,27,"$64,247 ",0%,Brazil,Rio de Janerio
E00518,Lydia Morales,Manager,Finance,Speciality Products,Female,Latino,51,"$108,221 ",5%,Brazil,Manaus
E04564,Luke Sanchez,Sr. Manger,Human Resources,Manufacturing,Male,Latino,41,"$129,903 ",13%,Brazil,Sao Paulo
E02024,Addison Perez,Operations Engineer,Engineering,Speciality Products,Female,Latino,29,"$123,588 ",0%,Brazil,Sao Paulo
E03521,Jackson Navarro,Director,Sales,Corporate,Male,Latino,52,"$163,143 ",28%,Brazil,Sao Paulo
E01508,Penelope Rodriguez,Engineering Manager,Engineering,Manufacturing,Female,Latino,49,"$100,810 ",12%,Brazil,Rio de Janerio
E00862,Levi Moreno,Systems Analyst,IT,Research & Development,Male,Latino,64,"$40,316 ",0%,Brazil,Manaus
E00035,Lillian Gonzales,Cloud Infrastructure Architect,IT,Manufacturing,Female,Latino,43,"$62,335 ",0%,Brazil,Manaus
E02535,Caroline Perez,Controls Engineer,Engineering,Corporate,Female,Latino,29,"$80,516 ",0%,Brazil,Sao Paulo
E01943,Vivian Espinoza,Sr. Manger,Sales,Corporate,Female,Latino,52,"$147,966 ",11%,Brazil,Rio de Janerio
E03240,Aiden Silva,Vice President,IT,Research & Development,Male,Latino,42,"$186,725 ",32%,Brazil,Manaus
E00568,Ian Vargas,Analyst,Sales,Manufacturing,Male,Latino,26,"$44,732 ",0%,Brazil,Rio de Janerio
E00447,Hailey Sanchez,Vice President,Marketing,Corporate,Female,Latino,32,"$203,445 ",34%,Brazil,Manaus
E02968,Caroline Santos,Analyst II,Finance,Research & Development,Female,Latino,25,"$56,565 ",0%,Brazil,Sao Paulo
E02047,Xavier Perez,Sr. Analyst,Sales,Manufacturing,Male,Latino,51,"$71,111 ",0%,Brazil,Rio de Janerio
E02563,Clara Sanchez,Controls Engineer,Engineering,Corporate,Female,Latino,47,"$111,404 ",0%,Brazil,Rio de Janerio
E03159,Claire Romero,Vice President,Marketing,Manufacturing,Female,Latino,37,"$219,474 ",36%,Brazil,Manaus
E00102,Riley Rojas,Network Architect,IT,Speciality Products,Female,Latino,36,"$90,333 ",0%,Brazil,Rio de Janerio
E01264,Hazel Alvarez,Business Partner,Human Resources,Research & Development,Female,Latino,62,"$45,295 ",0%,Brazil,Sao Paulo
E00943,Elena Mendoza,Director,Sales,Speciality Products,Female,Latino,27,"$154,973 ",29%,Brazil,Sao Paulo
E02193,Josephine Acosta,Director,Human Resources,Speciality Products,Female,Latino,40,"$198,176 ",17%,Brazil,Manaus
E00577,Nora Nunez,Analyst II,Finance,Research & Development,Female,Latino,45,"$58,586 ",0%,Brazil,Sao Paulo
E02889,Mia Herrera,Director,Marketing,Research & Development,Female,Latino,43,"$171,360 ",23%,Brazil,Manaus
E04163,David Herrera,Engineering Manager,Engineering,Speciality Products,Male,Latino,32,"$102,298 ",13%,Brazil,Rio de Janerio
E01652,Avery Dominguez,Sr. Manger,Sales,Corporate,Female,Latino,27,"$133,297 ",13%,Brazil,Rio de Janerio
E03102,Cooper Valdez,Manager,Sales,Corporate,Male,Latino,50,"$113,269 ",9%,Brazil,Sao Paulo
E04562,Kinsley Martinez,Director,Human Resources,Speciality Products,Female,Latino,52,"$177,443 ",25%,Brazil,Sao Paulo
E02554,Joshua Ramirez,Vice President,Human Resources,Corporate,Male,Latino,44,"$181,247 ",33%,Brazil,Sao Paulo
E02888,Elijah Ramos,Sr. Manger,IT,Speciality Products,Male,Latino,33,"$132,544 ",10%,Brazil,Rio de Janerio
E02561,Samantha Vargas,Director,Human Resources,Corporate,Female,Latino,53,"$151,246 ",21%,Brazil,Sao Paulo
E02221,Julian Delgado,Systems Analyst,IT,Speciality Products,Male,Latino,29,"$52,693 ",0%,Brazil,Rio de Janerio
E02627,Parker Avila,Analyst II,Marketing,Manufacturing,Male,Latino,47,"$62,749 ",0%,Brazil,Manaus
E03430,Leo Herrera,Sr. Business Partner,Human Resources,Research & Development,Male,Latino,48,"$85,369 ",0%,Brazil,Manaus
